post_id,source,event_id,posted_at,keyword,text
1,dcard,aurora-2026-kh,2026-05-01T12:05:00,搶不到,世界巡演高雄場根本秒殺 完全搶不到票 有人有撇步嗎
2,ptt,aurora-2026-kh,2026-05-01T12:11:00,補票,聽說付款逾時會釋出 想問補票都什麼時候出現
3,dcard,aurora-2026-kh,2026-05-02T22:30:00,徵票,徵高雄場兩張 1F 面額讓 謝謝
4,threads,aurora-2026-kh,2026-05-03T09:15:00,退票,有人退票嗎 一直刷都沒有 好崩潰
5,ptt,nova-2026-tp,2026-05-10T12:02:00,搶不到,台北場開賣三分鐘就全紅 搶不到超難過
6,dcard,nova-2026-tp,2026-05-10T13:40:00,補票,守一整個下午等補票 眼睛要瞎了
7,dcard,nova-2026-tp,2026-05-11T20:05:00,黃牛,黃牛喊到三倍價 真的會買單嗎 太誇張
8,ptt,nova-2026-tp,2026-05-12T08:20:00,退票,請問退票釋出是隨機的嗎 還是固定時間
9,threads,nova-2026-tp,2026-05-12T23:50:00,徵票,急徵台北場一張 預算面額 不要超賣拜託
10,dcard,indiefest-2026-tc,2026-04-20T12:30:00,搶不到,台中場也太搶手 沒想到獨立音樂祭這麼難搶
11,ptt,indiefest-2026-tc,2026-04-21T19:00:00,補票,有沒有自動通知補票的工具 一直手刷好累
12,dcard,indiefest-2026-tc,2026-04-22T10:10:00,退票,昨天半夜真的有刷到退票 大家不要放棄
13,dcard,aurora-2026-kh,2026-05-04T18:45:00,搶不到,第二波加場一樣秒殺 心累
14,ptt,aurora-2026-kh,2026-05-05T07:30:00,補票,通常開賣後15分鐘付款逾時會釋一波 把握
15,threads,aurora-2026-kh,2026-05-06T21:00:00,黃牛,看到黃牛貼文好氣 希望有方法搶到原價
16,dcard,nova-2026-tp,2026-05-13T12:00:00,補票,如果有 app 一有票就推播我願意付錢
17,ptt,nova-2026-tp,2026-05-14T09:25:00,搶不到,刷新刷到手痛還是沒有 有沒有更聰明的辦法
18,dcard,nova-2026-tp,2026-05-15T22:10:00,徵票,徵台北場 願面額 誠可議 不要黃牛
19,threads,indiefest-2026-tc,2026-04-23T15:30:00,補票,想知道哪個時段最容易撿到退票
20,dcard,indiefest-2026-tc,2026-04-24T11:00:00,搶不到,完全搶不到 只能等補票了 拜託出來
21,ptt,aurora-2026-kh,2026-05-07T08:00:00,退票,演出前兩天通常退票最多 經驗分享
22,dcard,aurora-2026-kh,2026-05-08T20:20:00,補票,願意每月付小錢換即時補票通知 真的
23,threads,nova-2026-tp,2026-05-16T19:40:00,搶不到,搶票像在打仗 身心俱疲
24,dcard,indiefest-2026-tc,2026-04-25T13:15:00,黃牛,獨立場也有黃牛 真的無言 支持原價交易
